accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,coverage,goodput_per_resource,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,seed,semantic_goodput,target_openout,task
3,3,1.0,0.0,0,0.4507042253521127,0.02112676056338028,0.1775147928994083,dino_detector,0.0,0.9788732394366197,0.8,0.11901408450704225,16.9,0,0.02112676056338028,0.02,deepsense-beam
1,1,1.0,0.0,0,0.4014084507042254,0.007042253521126761,0.06535947712418301,ensemble_detector,0.0,0.9929577464788732,0.8,0.10774647887323945,15.3,0,0.007042253521126761,0.02,deepsense-beam
1,1,1.0,0.0,0,0.38028169014084506,0.007042253521126761,0.06756756756756756,deepjscc_pca,0.0,0.9929577464788732,0.8,0.10422535211267606,14.8,0,0.007042253521126761,0.02,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06451612903225806,witt_context_style,0.0,0.9929577464788732,0.8,0.1091549295774648,15.500000000000002,0,0.007042253521126761,0.02,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06369426751592357,fixed_refine_all,0.0,0.9929577464788732,0.8,0.11056338028169015,15.700000000000001,0,0.007042253521126761,0.02,deepsense-beam
1,1,1.0,0.0,0,0.4507042253521127,0.007042253521126761,0.0662251655629139,opensemcom_progressive,0.0,0.9929577464788732,0.8,0.1063380281690141,15.100000000000001,0,0.007042253521126761,0.02,deepsense-beam
3,3,1.0,0.0,0,0.4507042253521127,0.02112676056338028,0.1775147928994083,dino_detector,0.0,0.9788732394366197,1.0,0.11901408450704225,16.9,0,0.02112676056338028,0.02,deepsense-beam
1,1,1.0,0.0,0,0.4014084507042254,0.007042253521126761,0.06535947712418301,ensemble_detector,0.0,0.9929577464788732,1.0,0.10774647887323945,15.3,0,0.007042253521126761,0.02,deepsense-beam
1,1,1.0,0.0,0,0.38028169014084506,0.007042253521126761,0.06756756756756756,deepjscc_pca,0.0,0.9929577464788732,1.0,0.10422535211267606,14.8,0,0.007042253521126761,0.02,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06451612903225806,witt_context_style,0.0,0.9929577464788732,1.0,0.1091549295774648,15.500000000000002,0,0.007042253521126761,0.02,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06369426751592357,fixed_refine_all,0.0,0.9929577464788732,1.0,0.11056338028169015,15.700000000000001,0,0.007042253521126761,0.02,deepsense-beam
1,1,1.0,0.0,0,0.4507042253521127,0.007042253521126761,0.0662251655629139,opensemcom_progressive,0.0,0.9929577464788732,1.0,0.1063380281690141,15.100000000000001,0,0.007042253521126761,0.02,deepsense-beam
3,3,1.0,0.0,0,0.4507042253521127,0.02112676056338028,0.1775147928994083,dino_detector,0.0,0.9788732394366197,0.6,0.11901408450704225,16.9,0,0.02112676056338028,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4014084507042254,0.007042253521126761,0.06535947712418301,ensemble_detector,0.0,0.9929577464788732,0.6,0.10774647887323945,15.3,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.38028169014084506,0.007042253521126761,0.06756756756756756,deepjscc_pca,0.0,0.9929577464788732,0.6,0.10422535211267606,14.8,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06451612903225806,witt_context_style,0.0,0.9929577464788732,0.6,0.1091549295774648,15.500000000000002,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06369426751592357,fixed_refine_all,0.0,0.9929577464788732,0.6,0.11056338028169015,15.700000000000001,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4507042253521127,0.007042253521126761,0.0662251655629139,opensemcom_progressive,0.0,0.9929577464788732,0.6,0.1063380281690141,15.100000000000001,0,0.007042253521126761,0.05,deepsense-beam
3,3,1.0,0.0,0,0.4507042253521127,0.02112676056338028,0.1775147928994083,dino_detector,0.0,0.9788732394366197,0.8,0.11901408450704225,16.9,0,0.02112676056338028,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4014084507042254,0.007042253521126761,0.06535947712418301,ensemble_detector,0.0,0.9929577464788732,0.8,0.10774647887323945,15.3,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.38028169014084506,0.007042253521126761,0.06756756756756756,deepjscc_pca,0.0,0.9929577464788732,0.8,0.10422535211267606,14.8,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06451612903225806,witt_context_style,0.0,0.9929577464788732,0.8,0.1091549295774648,15.500000000000002,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06369426751592357,fixed_refine_all,0.0,0.9929577464788732,0.8,0.11056338028169015,15.700000000000001,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4507042253521127,0.007042253521126761,0.0662251655629139,opensemcom_progressive,0.0,0.9929577464788732,0.8,0.1063380281690141,15.100000000000001,0,0.007042253521126761,0.05,deepsense-beam
3,3,1.0,0.0,0,0.4507042253521127,0.02112676056338028,0.1775147928994083,dino_detector,0.0,0.9788732394366197,1.0,0.11901408450704225,16.9,0,0.02112676056338028,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4014084507042254,0.007042253521126761,0.06535947712418301,ensemble_detector,0.0,0.9929577464788732,1.0,0.10774647887323945,15.3,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.38028169014084506,0.007042253521126761,0.06756756756756756,deepjscc_pca,0.0,0.9929577464788732,1.0,0.10422535211267606,14.8,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06451612903225806,witt_context_style,0.0,0.9929577464788732,1.0,0.1091549295774648,15.500000000000002,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06369426751592357,fixed_refine_all,0.0,0.9929577464788732,1.0,0.11056338028169015,15.700000000000001,0,0.007042253521126761,0.05,deepsense-beam
1,1,1.0,0.0,0,0.4507042253521127,0.007042253521126761,0.0662251655629139,opensemcom_progressive,0.0,0.9929577464788732,1.0,0.1063380281690141,15.100000000000001,0,0.007042253521126761,0.05,deepsense-beam
3,3,1.0,0.0,0,0.4507042253521127,0.02112676056338028,0.1775147928994083,dino_detector,0.0,0.9788732394366197,0.6,0.11901408450704225,16.9,0,0.02112676056338028,0.1,deepsense-beam
1,1,1.0,0.0,0,0.4014084507042254,0.007042253521126761,0.06535947712418301,ensemble_detector,0.0,0.9929577464788732,0.6,0.10774647887323945,15.3,0,0.007042253521126761,0.1,deepsense-beam
1,1,1.0,0.0,0,0.38028169014084506,0.007042253521126761,0.06756756756756756,deepjscc_pca,0.0,0.9929577464788732,0.6,0.10422535211267606,14.8,0,0.007042253521126761,0.1,deepsense-beam
1,1,1.0,0.0,0,0.4084507042253521,0.007042253521126761,0.06451612903225806,witt_context_style,0.0,0.9929577464788732,0.6,0.1091549295774648,15.500000000000002,0,0.007042253521126761,0.1,deepsense-beam
