accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,goodput_per_resource,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,seed,semantic_goodput,target_openout,task
305,305,1.0,0.0,0,0.42857142857142855,0.9997406005859375,0.3404017857142857,0.0,0.7174782404140202,opensemcom_receiver_only,0.0,0.6595982142857143,1.0,0.47444196428571433,425.1,0,0.3404017857142857,0.01,full-open
309,309,1.0,0.0,0,0.42857142857142855,0.9997812906901041,0.34486607142857145,0.0,0.719441210710128,opensemcom_no_channel,0.0,0.6551339285714286,1.0,0.47935267857142855,429.5,0,0.34486607142857145,0.01,full-open
368,368,1.0,0.0,0,0.9732142857142857,0.9916678550329008,0.4107142857142857,0.010471204188481676,0.6800961005359453,opensemcom_progressive,0.19866071428571427,0.5892857142857143,1.0,0.60390625,541.1,0,0.4107142857142857,0.01,full-open
241,240,0.995850622406639,0.004149377593360996,1,0.9732142857142857,0.9904811864648482,0.2689732142857143,0.013089005235602094,0.7830342577487766,dino_detector,0.0,0.7310267857142857,0.3,0.34207589285714285,306.5,0,0.26785714285714285,0.02,full-open
190,190,1.0,0.0,0,0.9899553571428571,0.9992268880208334,0.21205357142857142,0.0,0.6363027461486939,ensemble_detector,0.0,0.7879464285714286,0.3,0.3332589285714286,298.6,0,0.21205357142857142,0.02,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,0.3,0.1,89.60000000000001,0,0.0,0.02,full-open
140,140,1.0,0.0,0,0.9888392857142857,0.9993184407552084,0.15625,0.0,0.5154639175257731,witt_context_style,0.0,0.84375,0.3,0.30312500000000003,271.6,0,0.15625,0.02,full-open
140,140,1.0,0.0,0,0.9888392857142857,0.9993184407552084,0.15625,0.0,0.46728971962616817,fixed_refine_all,0.0,0.84375,0.3,0.33437500000000003,299.6,0,0.15625,0.02,full-open
197,197,1.0,0.0,0,0.42857142857142855,0.9997406005859375,0.21986607142857142,0.0,0.6431603003591251,opensemcom_receiver_only,0.0,0.7801339285714286,0.3,0.34185267857142854,306.29999999999995,0,0.21986607142857142,0.02,full-open
191,191,1.0,0.0,0,0.42857142857142855,0.9997812906901041,0.21316964285714285,0.0,0.637303970637304,opensemcom_no_channel,0.0,0.7868303571428571,0.3,0.3344866071428571,299.7,0,0.21316964285714285,0.02,full-open
267,267,1.0,0.0,0,0.9732142857142857,0.999053955078125,0.29799107142857145,0.005208333333333333,0.8093361624734768,opensemcom_progressive,0.0,0.7020089285714286,0.3,0.36819196428571427,329.9,0,0.29799107142857145,0.02,full-open
241,240,0.995850622406639,0.004149377593360996,1,0.9732142857142857,0.9904811864648482,0.2689732142857143,0.013089005235602094,0.7830342577487766,dino_detector,0.0,0.7310267857142857,0.45,0.34207589285714285,306.5,0,0.26785714285714285,0.02,full-open
351,350,0.9971509971509972,0.002849002849002849,1,0.9899553571428571,0.9992268880208334,0.39174107142857145,0.0,0.7357578305654825,ensemble_detector,0.0,0.6082589285714286,0.45,0.5309151785714286,475.7,0,0.390625,0.02,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,0.45,0.1,89.60000000000001,0,0.0,0.02,full-open
303,303,1.0,0.0,0,0.9888392857142857,0.9993184407552084,0.33816964285714285,0.0,0.6266804550155118,witt_context_style,0.0,0.6618303571428571,0.45,0.5396205357142857,483.5,0,0.33816964285714285,0.02,full-open
261,261,1.0,0.0,0,0.9888392857142857,0.9993184407552084,0.29129464285714285,0.0,0.5425067553523176,fixed_refine_all,0.0,0.7087053571428571,0.45,0.5369419642857143,481.1,0,0.29129464285714285,0.02,full-open
342,342,1.0,0.0,0,0.42857142857142855,0.9997406005859375,0.38169642857142855,0.0,0.7342206955775011,opensemcom_receiver_only,0.0,0.6183035714285714,0.45,0.5198660714285713,465.79999999999995,0,0.38169642857142855,0.02,full-open
344,344,1.0,0.0,0,0.42857142857142855,0.9997812906901041,0.38392857142857145,0.0,0.7350427350427351,opensemcom_no_channel,0.0,0.6160714285714286,0.45,0.5223214285714286,468.0,0,0.38392857142857145,0.02,full-open
373,372,0.9973190348525469,0.002680965147453083,1,0.9709821428571429,0.9991200764973959,0.41629464285714285,0.0,0.8346421359658962,opensemcom_progressive,0.03459821428571429,0.5837053571428571,0.45,0.49743303571428577,445.70000000000005,0,0.41517857142857145,0.02,full-open
241,240,0.995850622406639,0.004149377593360996,1,0.9732142857142857,0.9904811864648482,0.2689732142857143,0.013089005235602094,0.7830342577487766,dino_detector,0.0,0.7310267857142857,0.6,0.34207589285714285,306.5,0,0.26785714285714285,0.02,full-open
351,350,0.9971509971509972,0.002849002849002849,1,0.9899553571428571,0.9992268880208334,0.39174107142857145,0.0,0.7357578305654825,ensemble_detector,0.0,0.6082589285714286,0.6,0.5309151785714286,475.7,0,0.390625,0.02,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,0.6,0.1,89.60000000000001,0,0.0,0.02,full-open
348,347,0.9971264367816092,0.0028735632183908046,1,0.9888392857142857,0.9993184407552084,0.38839285714285715,0.0,0.6402214022140221,witt_context_style,0.0,0.6116071428571429,0.6,0.6049107142857143,542.0,0,0.3872767857142857,0.02,full-open
348,347,0.9971264367816092,0.0028735632183908046,1,0.9888392857142857,0.9993184407552084,0.38839285714285715,0.0,0.5673642903858731,fixed_refine_all,0.0,0.6116071428571429,0.6,0.6825892857142858,611.6,0,0.3872767857142857,0.02,full-open
342,342,1.0,0.0,0,0.42857142857142855,0.9997406005859375,0.38169642857142855,0.0,0.7342206955775011,opensemcom_receiver_only,0.0,0.6183035714285714,0.6,0.5198660714285713,465.79999999999995,0,0.38169642857142855,0.02,full-open
344,344,1.0,0.0,0,0.42857142857142855,0.9997812906901041,0.38392857142857145,0.0,0.7350427350427351,opensemcom_no_channel,0.0,0.6160714285714286,0.6,0.5223214285714286,468.0,0,0.38392857142857145,0.02,full-open
