coverage,goodput_proxy,run,selected,selected_open,selected_open_outage,selected_precision,threshold
0.00030120481927710846,0.00030120481927710846,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,1,0,0.0,1.0,0.05610691336837981
0.010843373493975903,0.00391566265060241,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,36,10,0.6388888888888888,0.3611111111111111,0.09055071917476384
0.020481927710843374,0.0069277108433734936,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,68,18,0.6617647058823529,0.3382352941176471,0.13368494686101187
0.03433734939759036,0.010240963855421687,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,114,28,0.7017543859649122,0.2982456140350877,0.15159182217762096
0.04006024096385542,0.011746987951807229,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,133,34,0.706766917293233,0.2932330827067669,0.16458867991098153
0.05120481927710843,0.01536144578313253,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,170,47,0.7,0.3,0.18692080667016855
0.060240963855421686,0.01716867469879518,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,200,54,0.715,0.285,0.2065464227831308
0.07801204819277109,0.02078313253012048,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,259,73,0.7335907335907336,0.26640926640926643,0.22267102022152674
0.08012048192771085,0.021686746987951807,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,266,75,0.7293233082706767,0.2706766917293233,0.2364906469789414
0.09006024096385543,0.025602409638554216,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,299,87,0.7157190635451505,0.2842809364548495,0.24292507895064877
0.10722891566265061,0.030120481927710843,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,356,105,0.7191011235955056,0.2808988764044944,0.2602671027815667
0.11204819277108434,0.03042168674698795,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,372,112,0.728494623655914,0.271505376344086,0.2664070059356187
0.12740963855421686,0.033433734939759034,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,423,130,0.7375886524822695,0.2624113475177305,0.27955788799523734
0.13042168674698795,0.034036144578313256,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,433,133,0.7390300230946882,0.26096997690531176,0.2859769423842001
0.1424698795180723,0.03734939759036145,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,473,147,0.7378435517970402,0.26215644820295986,0.30970226788884814
0.15,0.03765060240963856,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,498,155,0.748995983935743,0.25100401606425704,0.32717737465100205
0.1614457831325301,0.03855421686746988,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,536,175,0.7611940298507462,0.23880597014925373,0.35987949484964904
0.17018072289156627,0.04006024096385542,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,565,186,0.7646017699115044,0.23539823008849559,0.5113701274988935
0.18072289156626506,0.04096385542168675,full-open_dinov3_torch_selective_confirm_login_seed0_login_20260617222340,600,216,0.7733333333333333,0.22666666666666666,0.9866075075963722
