task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95
deepsense-beam,0.01,1.0,fixed_refine_all,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10381679389312977,0.006610880944919374,0.007480916030534346,0.0228310502283105,0.0395445389855908,0.044748858447488576,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.01,1.0,opensemcom_progressive,3,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.0,0.0,0.0,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,1.7320508075688772,1.96,0.1068702290076336,0.011899585700854884,0.013465648854961836,0.06329113924050632,0.10962346883347324,0.1240506329113924,0.0,0.0,0.0,0.9923664122137404,0.01322176188983878,0.014961832061068728,0.9033078880407125,0.015890580148596397,0.017981884223688047
deepsense-beam,0.01,1.0,witt_context_style,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10330788804071249,0.005729430152263457,0.006483460559796432,0.02314814814814815,0.04009376869372401,0.04537037037037037,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,0.6,deepjscc_pca,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10152671755725191,0.002644352377967743,0.002992366412213731,0.024330900243309004,0.042142355415301154,0.04768856447688565,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.89058524173028,0.01166049795154155,0.013195095597166882
deepsense-beam,0.02,0.6,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,0.6,ensemble_detector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9083969465648855,0.0201965748936228,0.022854575985021462
deepsense-beam,0.02,0.6,fixed_refine_all,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10381679389312977,0.006610880944919374,0.007480916030534346,0.0228310502283105,0.0395445389855908,0.044748858447488576,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,0.6,opensemcom_progressive,3,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.0,0.0,0.0,0.007633587786259542,0.013221761889838759,0.014961832061068703,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,1.7320508075688772,1.96,0.1068702290076336,0.011899585700854884,0.013465648854961836,0.06329113924050632,0.10962346883347324,0.1240506329113924,0.0,0.0,0.0,0.9923664122137404,0.01322176188983878,0.014961832061068728,0.9033078880407125,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,0.6,witt_context_style,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10330788804071249,0.005729430152263457,0.006483460559796432,0.02314814814814815,0.04009376869372401,0.04537037037037037,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.9109414758269719,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,0.8,deepjscc_pca,3,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.0,0.0,0.0,0.0025445292620865138,0.004407253963279586,0.004987277353689568,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.10152671755725191,0.002644352377967743,0.002992366412213731,0.024330900243309004,0.042142355415301154,0.04768856447688565,0.0,0.0,0.0,0.9974554707379135,0.004407253963279593,0.004987277353689576,0.89058524173028,0.01166049795154155,0.013195095597166882
deepsense-beam,0.02,0.8,dino_detector,3,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.0,0.0,0.0,0.010178117048346055,0.011660497951541577,0.013195095597166914,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.3333333333333333,1.5275252316519468,1.728557523228866,0.10916030534351145,0.010494448156387422,0.011875586037450227,0.08710066305003013,0.0959019787655925,0.10852330518201991,0.0,0.0,0.0,0.989821882951654,0.011660497951541598,0.013195095597166938,0.9033078880407125,0.015890580148596397,0.017981884223688047
deepsense-beam,0.02,0.8,ensemble_detector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9083969465648855,0.0201965748936228,0.022854575985021462
